0,0637			Значение	Ст.откл
0,1867		Среднее	0,1288824	0,005412482
0,0844		Медиана	0,0876	
0,1961		Ст.отклонение	0,121026771	0,003827203
0,2644		Ассиметрия А1	1,457753178	0,10888986
0,0526		Ассиметрия А2	1,462143268	0,109217787
0,1058		Эксцесс Е2	2,196385657	0,217569202
0,0555		Мин	0,0001	
0,0606		Макс	0,6084	
0,0679				
0,1408				
0,0592		Кол-во эл	500	
0,0359				
0,0072				
0,1523				
0,034				
0,1266				
0,2768				
0,1742				
0,166				
0,2516				
0,0006				
0,0564				
0,0031				
0,1257				
0,026				
0,1914				
0,1048				
0,0208				
0,2252				
0,0595				
0,3024				
0,0917				
0,397				
0,129				
0,0702				
0,2347				
0,0074				
0,0812				
0,06				
0,4402				
0,2161				
0,1283				
0,2642				
0,1808				
0,2989				
0,1059				
0,1319				
0,0581				
0,0388				
0,4402				
0,1479				
0,2762				
0,1823				
0,2397				
0,0225				
0,0467				
0,012				
0,3989				
0,0206				
0,1842				
0,0189				
0,1553				
0,0205				
0,0599				
0,0696				
0,0192				
0,0588				
0,0319				
0,0287				
0,0758				
0,0365				
0,0423				
0,0457				
0,0193				
0,1632				
0,057				
0,3149				
0,2365				
0,0295				
0,0421				
0,2061				
0,0566				
0,0434				
0,3362				
0,1452				
0,0784				
0,1163				
0,314				
0,175				
0,0849				
0,0617				
0,3437				
0,1131				
0,2335				
0,1417				
0,0085				
0,4575				
0,2158				
0,0239				
0,1222				
0,0289				
0,0797				
0,0271				
0,0469				
0,0181				
0,0595				
0,0429				
0,1712				
0,3126				
0,102				
0,0615				
0,123				
0,0167				
0,2552				
0,1109				
0,0188				
0,2633				
0,1305				
0,3774				
0,0531				
0,0009				
0,0716				
0,2895				
0,1237				
0,0802				
0,0035				
0,013				
0,0833				
0,0949				
0,031				
0,275				
0,0324				
0,0578				
0,3745				
0,1476				
0,0544				
0,0301				
0,1726				
0,3572				
0,1393				
0,0164				
0,1386				
0,0694				
0,079				
0,4504				
0,0169				
0,0202				
0,0341				
0,053				
0,0442				
0,009				
0,2103				
0,0499				
0,005				
0,0488				
0,2961				
0,0725				
0,0765				
0,1928				
0,0602				
0,0238				
0,1073				
0,0129				
0,2043				
0,2838				
0,1813				
0,0862				
0,0053				
0,0116				
0,2427				
0,0103				
0,6027				
0,0198				
0,0149				
0,0499				
0,1574				
0,0348				
0,0806				
0,0079				
0,0955				
0,522				
0,1823				
0,0128				
0,2561				
0,2251				
0,1782				
0,0461				
0,2954				
0,1001				
0,0425				
0,2637				
0,0484				
0,0148				
0,2256				
0,282				
0,1488				
0,261				
0,0354				
0,1238				
0,0524				
0,3657				
0,089				
0,0146				
0,1245				
0,5497				
0,1803				
0,2538				
0,0133				
0,4403				
0,4106				
0,3264				
0,2977				
0,1087				
0,2474				
0,0709				
0,0624				
0,0413				
0,0367				
0,0928				
0,23				
0,0362				
0,1226				
0,0412				
0,1499				
0,1518				
0,129				
0,275				
0,2163				
0,0428				
0,024				
0,0572				
0,0981				
0,1186				
0,1582				
0,0777				
0,112				
0,0049				
0,0762				
0,109				
0,0253				
0,0499				
0,0512				
0,2472				
0,2138				
0,2088				
0,2283				
0,1699				
0,11				
0,0085				
0,0609				
0,1327				
0,0005				
0,0596				
0,0935				
0,1356				
0,1678				
0,0726				
0,0541				
0,0286				
0,1444				
0,0013				
0,1923				
0,0381				
0,0386				
0,1015				
0,1483				
0,1075				
0,3919				
0,0105				
0,4699				
0,1844				
0,0539				
0,1263				
0,006				
0,0865				
0,0459				
0,0349				
0,0661				
0,4001				
0,4873				
0,0321				
0,0308				
0,0633				
0,1819				
0,022				
0,0007				
0,0765				
0,0851				
0,4053				
0,0014				
0,0824				
0,0558				
0,2013				
0,1812				
0,0174				
0,0757				
0,2701				
0,2428				
0,3001				
0,2696				
0,0425				
0,008				
0,0879				
0,2141				
0,0529				
0,0362				
0,5554				
0,5697				
0,051				
0,1688				
0,0407				
0,0718				
0,0728				
0,0026				
0,079				
0,1072				
0,0303				
0,0035				
0,2546				
0,2323				
0,005				
0,0599				
0,2647				
0,0875				
0,0467				
0,037				
0,0061				
0,0605				
0,0533				
0,2164				
0,3382				
0,1186				
0,0315				
0,065				
0,1201				
0,1258				
0,0069				
0,2052				
0,6025				
0,0076				
0,0713				
0,0741				
0,0222				
0,0197				
0,0038				
0,0381				
0,114				
0,4003				
0,1001				
0,0891				
0,249				
0,0861				
0,1127				
0,312				
0,0086				
0,0537				
0,0117				
0,2391				
0,0564				
0,1342				
0,0508				
0,0673				
0,0183				
0,0766				
0,2291				
0,1317				
0,1537				
0,1376				
0,0865				
0,0397				
0,1464				
0,0428				
0,19				
0,1148				
0,0523				
